artist,genres
21 Savage,No Genre
Rich The Kid,trap
Lil Mosey,melodic rap
Lil Uzi Vert,melodic rap
Blueface,No Genre
A Boogie Wit da Hoodie,melodic rap
French Montana,No Genre
Xavier Weeks,melodic rap
DaBaby,No Genre
YoungBoy Never Broke Again,No Genre
Denzel Curry,No Genre
Pop Smoke,brooklyn drill
Pop Smoke,new york drill
Pop Smoke,drill
Lil Tjay,brooklyn drill
Lil Tjay,melodic rap
XXXTENTACION,emo rap
Rod Wave,No Genre
Luh Kel,No Genre
Drama Relax,No Genre
Sleepy Hallow,brooklyn drill
Sleepy Hallow,new york drill
Meek Mill,rap
Migos,trap
NAV,melodic rap
NLE Choppa,No Genre
iann dior,melodic rap
Vicknationz,No Genre
Ron Suno,new york drill
Ron Suno,drill
Ron Suno,brooklyn drill
Sheff G,brooklyn drill
Sheff G,new york drill
Sheff G,drill
Quando Rondo,melodic rap
Kendrick Lamar,hip hop
Kendrick Lamar,west coast hip hop
Trap Manny,new york drill
Trap Manny,brooklyn drill
Internet Money,No Genre
Young Thug,rap
Young Thug,melodic rap
Young Thug,trap
Future,rap
Jay Critch,brooklyn drill
Jay Critch,new york drill
Smoove'L,brooklyn drill
Smoove'L,new york drill
Smoove'L,drill
Lil Durk,chicago drill
Lil Durk,drill
icyslug,No Genre
Joyner Lucas,No Genre
Lil Tecca,melodic rap
Lil Tecca,rap
Polo G,No Genre
Ski Mask The Slump God,No Genre
Don Toliver,No Genre
Only The Family,chicago drill
Rozei,No Genre
Trippie Redd,melodic rap
Post Malone,No Genre
Drake,rap
Jack Harlow,No Genre
Lil Skies,melodic rap
Gunna,melodic rap
Teejayx6,No Genre
Lil Baby,No Genre
Lil Yachty,No Genre
Roddy Ricch,melodic rap
Ace Hood,No Genre
Kevin Gates,No Genre
G Herbo,chicago drill
G Herbo,drill
The Chicharones,underground hip hop
TJ Porter,No Genre
J.I the Prince of N.Y,No Genre
Lil Wayne,rap
Lil Wayne,hip hop
Coda,anime
22Gz,brooklyn drill
22Gz,new york drill
22Gz,drill
Casanova,brooklyn drill
MaxThaDemon,new york drill
MaxThaDemon,brooklyn drill
MaxThaDemon,drill
Famous Dex,No Genre
PnB Rock,melodic rap
Murda Beatz,No Genre
Ugly God,No Genre
Metro Boomin,No Genre
Tee Grizzley,No Genre
Plies,southern hip hop
Rvssian,trap latino
Quality Control,No Genre
Cordae,No Genre
24kGoldn,No Genre
Mustard,No Genre
Lorde,No Genre
Camila Cabello,No Genre
Pitbull,No Genre
Tyga,No Genre
5 Seconds of Summer,No Genre
Shontelle,No Genre
"Tyler, The Creator",No Genre
Tove Lo,No Genre
Cardi B,No Genre
Kesha,No Genre
Gym Class Heroes,No Genre
DJ Khaled,No Genre
Kanye West,rap
Lauv,No Genre
Bruno Mars,No Genre
Waka Flocka Flame,No Genre
OneRepublic,soft pop
Snakehips,No Genre
Ne-Yo,No Genre
Demi Lovato,No Genre
SZA,r&b
Daft Punk,french house
Daft Punk,electronic
Daft Punk,electro
Rihanna,No Genre
OMI,No Genre
CeeLo Green,No Genre
LunchMoney Lewis,No Genre
Clean Bandit,No Genre
Avicii,edm
The Script,No Genre
Comethazine,No Genre
Rick Ross,southern hip hop
Playboi Carti,rage rap
benny blanco,No Genre
H.E.R.,r&b
Bankrol Hayden,melodic rap
Chris Brown,r&b
YNW Melly,melodic rap
Khalid,No Genre
Kodak Black,No Genre
Juice WRLD,melodic rap
Juice WRLD,emo rap
Jay Gwuapo,brooklyn drill
Jay Gwuapo,new york drill
Trill Ryan,No Genre
Travis Barker,rap rock
Shordie Shordie,No Genre
Russ,No Genre
Rae Sremmurd,No Genre
PARTYNEXTDOOR,dark r&b
PARTYNEXTDOOR,r&b
PARTYNEXTDOOR,trap soul
MarMar Oso,No Genre
