artist,genre
DJ Neon,No Genre
DJ Crystal Ground,Drill
Bandmanrill,Drill
Bandmanrill,Electronic
Sha EK,Drill
Sha EK,Electronic
payjuggn,Drill
Deomine,Drill
GlizzyGlo,Drill
Pj Glizzy,Drill
Quelly Woo,Drill
TMP,No Genre
zZz,No Genre
G Fredo,Drill
Curly Savv,Drill
Mikabeats,Drill
Mikabeats,Grime
CoachDaGhost,Drill
SweepersENT,Drill
SweepersENT,Electronic
Sdot Go,Drill
Sdot Go,Electronic
26ar,Drill
Nas Ebk,Drill
41,Drill
41,Electronic
DD Osama,Drill
TaTa,Drill
JayDot Geek,Drill
The Smiths,New Wave
The Smiths,Madchester
The Smiths,Pop
Laufey,Latin
Laufey,Easy Listening
Laufey,Jazz
Laufey,Pop
Laufey,Singer-Songwriter
Shakka,No Genre
FIFTY FIFTY,Pop
FIFTY FIFTY,Girl Group
slowed down audioss,Electronic
MASK,Visual Kei
[no artist],Special Purpose
[no artist],Special Purpose Artist
Sped Up Mage,Nightcore
Dabin,Electronic
DJ Space’C,No Genre
Magaziine,No Genre
Remix,Latvian
ViralityX,No Genre
Girls Don't Cry,No Genre
Jools TV,Children'S Music
Tyler Hubbard,Country
Tirzah,R&B
Boyish,Pop
Zoe Osama,No Genre
22nd Jim,Hyphy
JUJU,Pop
JUJU,Jazz
skoomy,No Genre
Odetari,Pop
Odetari,Nightcore
GROOVY,Electronic
Zach Templar,No Genre
Alex G,2010S
Alex G,2020S
Alex G,Pop
Alex G,Folk
Alex G,Rock
ZOMBIES – Cast,No Genre
OURGRND,No Genre
Fabe,Hip Hop
toigo,Rap
HIM,#NAME?
HIM,Rock
HIM,Finland
HIM,Finnish
HIM,Gothic Metal
SOLO,Drill
XG,Pop
Essentxals,No Genre
Grant Kirkhope,Vgm
Wun Two,Boom Bap
Wun Two,Chillwave
Wun Two,Downtempo
Wun Two,Hip Hop
Wun Two,Instrumental
The Bettys,Fictional Band
The Bettys,Rock
Thomas Bergersen,Composer
Thomas Bergersen,Epic
Thomas Bergersen,Epic Music
Thomas Bergersen,Classical
Thomas Bergersen,Soundtrack
The Smile Away Reformatory Glee Club,No Genre
"Phineas Newborn, Jr.",Hard Bop
"Phineas Newborn, Jr.",Jazz
CORPSE,Trap
George Michael,Adult Contemporary
George Michael,Ballad
George Michael,R&B
George Michael,British
Carpenters,Christmas
Carpenters,Adult Standards
Toni Braxton,R&B
Bobby Caldwell,Rock
Cher,2008 Universal Fire Victim
Cher,Pop
Cher,Disco
Cher,Folk
Olivia Newton‐John,2008 Universal Fire Victim
Olivia Newton‐John,Australian
Olivia Newton‐John,Ballad
Olivia Newton‐John,British
Olivia Newton‐John,Pop
Frankie Valli,Aln-Sh
Frankie Valli,Pop
James Brown & The Famous Flames,Disco
James Brown & The Famous Flames,Funk
James Brown & The Famous Flames,Blues
James Brown & The Famous Flames,R&B
Frank Sinatra,Christmas
Frank Sinatra,Big Band
Frank Sinatra,Adult Standards
Frank Sinatra,Swing Music
Frank Sinatra,Jazz
Johann Sebastian Bach,Classical
Erik Satie,Classical
Claude Debussy,Classical
Julián Fueyo,Classical
Curtis Mayfield,R&B
Curtis Mayfield,Funk
Jean Dawson,No Genre
Lush,4Ad
Lush,British
Lush,Pop
Lush,English
Lush,Rock
eevee,Lo-fi
eevee,Hip Hop
Flovry,Hip Hop
Flovry,Lo-fi
a girl and a cat,Lo-fi
a girl and a cat,Hip Hop
UZI,Hip Hop
UZI,Drill
Ati242,Hip Hop
Tainy,Latin
Chiccote's Beats,Hip Hop
Chiccote's Beats,Lo-fi
LoFi Waiter,Lo-fi
LoFi Waiter,Hip Hop
Dontcry,Lo-fi
Dontcry,Hip Hop
Kupla,Hip Hop
Kupla,Lo-fi
mommy,Lo-fi
mommy,Hip Hop
SPEECHLESS,Lo-fi
SPEECHLESS,Hip Hop
ENRA,Hip Hop
ENRA,Lo-fi
Nymano,Lo-fi
Nymano,Hip Hop
Nymano,Jazz
Yasumu,Hip Hop
Yasumu,Lo-fi
Axian,Lo-fi
Axian,Hip Hop
Axian,Jazz
BluntOne,Hip Hop
BluntOne,Lo-fi
Swink,Lo-fi
Swink,Hip Hop
Kusorare,No Genre
Sun Ra,2008 Universal Fire Victim
Sun Ra,American
Sun Ra,Jazz
Sun Ra,Electronic
Sun Ra,Free Improvisation
Blobzter,No Genre
Instrumental All Stars,Raï
Instrumental All Stars,Jazz
Cybermode Beats,No Genre
Lofi Beats,Lo-fi
The E Street Band,Rock
The E Street Band,Pop
Germany Germany,No Genre
Kijugo,Lo-fi
Kijugo,Anime
[unknown],Fixme Or Cleanup
[unknown],Special Purpose
[unknown],Special Purpose Artist
[unknown],Unknown
Lofi Tokyo,Lo-fi
Lofi Girl,No Genre
Lofi Afrobeats,Lo-fi
Lofi Afrobeats,Afrobeats
D.i.n BEATS,Kizomba
D.i.n BEATS,Afrobeats
D.i.n BEATS,Afrobeat
Kareem Baidak,Hip Hop
l'Outlander,Hip Hop
l'Outlander,Lo-fi
My Singing Monsters,Game Music
Diiolme,Lo-fi
Diiolme,Hip Hop
Qalander,No Genre
Vivek Athreya,No Genre
Prem Joshua,No Genre
Thievery Corporation,Trip Hop
Thievery Corporation,Downtempo
Thievery Corporation,Jazz
Thievery Corporation,Lounge
LO-FI BEATS,Lo-fi
Disasterpeace,Chip
Disasterpeace,Electronic
Disasterpeace,Soundtrack
Johannes Brahms,Classical
Johannes Brahms,Chamber Music
Maestro,No Genre
Timothy Zahn,Has German Audiobooks
Hidden Citizens,Classical
Michaël Ghelfi,_Add Serie
Michaël Ghelfi,Ttrpg
Federale,Southern Gothic
Ennio Morricone,Absolute Music
Ennio Morricone,Experimental
Ennio Morricone,Classical
Ennio Morricone,Soundtrack
ELM,No Genre
Epic Score,Label As Artist
Epic Score,Production Music
Epic Score,Trailer
Andy Lau,Pop
Alan Tam,Pop
Betsy Brye,No Genre
The Devil Makes Three,Bluegrass
The Devil Makes Three,Southern Gothic
The Devil Makes Three,Newgrass
The Devil Makes Three,Country
The Devil Makes Three,Punk
The Devil Makes Three,Folk
"Emerson, Lake & Palmer",Classical
"Emerson, Lake & Palmer",Rock
"Emerson, Lake & Palmer",Pop
Jax The Bard,Celtic
Jax The Bard,Sea Shanties
Miles Davis,Jazz
Miles Davis,Hard Bop
Peter Gundry,Celtic
Alexandre Desplat,Soundtrack
Shusaku Uchiyama,Japanese Vgm
This Mortal Coil,Pop
This Mortal Coil,Darkwave
This Mortal Coil,Rock
Michael McDonald,2008 Universal Fire Victim
